ISIN,NOM,NAM,SECTOR,GLOBAL,US EQUITY,EUROPEAN EQUITY +  UK,JAPON EQUITY,EM GLOBAL,EM ASIAN EQUITY,LATIN AMERICAN EQUITY,ALTERNATIVE,TOTAL,ORO,PLATA,REAL ESTATE,CONTROL,RIESGO,USD,EUR,JPY,CAD,GBP,MXN,BRL,AUD,COP,TOTAL,,,,,,,,,,,,,,,
LU0140637140,Schroder International Selection Fund Greater China,FM China,EM EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.03901483240666951,0,0,0,0,0,0,0.9609851675933303,0,0.9999999999999998,,,,,,,,,,,,,,,
US2332036118,DFA Emerging Markets Small Cap,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.019860861967275305,0.026090874770326775,0.015664769725070055,0.03959019814952978,0.008595532444285934,0.26378407439526724,0.05460702427988946,0.5718066642683557,0,1.0000000000000002,,,,,,,,,,,,,,,
IE00B0HCGS80,Dimensional Funds - EM Value,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.03716961346954475,0.02261798331959826,0.01601811924340674,0.03531034551736217,0.008631705197349637,0.21019321745422168,0.047856795853504525,0.6222022199450125,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0278915607,"AS SICAV I - EM SMALLER COMPANIES""I"" (USD) ACC",FM EM Global,EM GLOBAL EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD,0.14443543519819688,0.013445868717685237,0.014209904485483725,0.02970499949872149,0.03663087416791355,0.22711046626799206,0.05439242593302215,0.4800700257309849,0,1,,,,,,,,,,,,,,,
LU0742536872,Fidelity Emerging Markets Fund,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.14104830981035338,0.05338751623127427,0.014498538733606386,0.017314466285441685,0.039438617105886344,0.12883239211366168,0.021663100637141178,0.5838170590826348,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0278093082,Vontobel Fund - Emerging Markets,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.11169283843547081,0.03976134998599312,0.027393346922559823,0.026061627160852384,0,0.17109279121614535,0.035184220346973466,0.5888138259320052,0,1,,,,,,,,,,,,,,,
US4642865335,ISHARES MSCI EM MIN VOL,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.016937246300273715,0.021214374963229744,0.04640841833600489,0.08026412111063909,0.023138502798477126,0.22063983820014219,0.06406792294423036,0.5273295753470032,0,1.0000000000000004,,,,,,,,,,,,,,,
US9220428588,Vanguard FTSE Emerging Markets,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.059779630202172335,0.0155164355029453,0.018279710358782234,0.03532388703506924,0.009121188041281154,0.2204732870790373,0.05424169744505308,0.5872641643356586,0,0.9999999999999993,,,,,,,,,,,,,,,
US4642872349,ISHARES MSCI EM INDEX,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL,0.028784220802524758,0.022197279248399277,0.015059778756416137,0.031089732960853662,0.007614368147728683,0.18012915096603602,0.04741486902518703,0.6677106000928555,0,1.000000000000001,,,,,,,,,,,,,,,
IE00B0M63177,Ishares MSCI Emerging Markets UCITS,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL,0.05659923197822854,0.022840009269057503,0.015157693615226831,0.024292923275360593,0.007584947887816429,0.18045739810921868,0.034929684149485614,0.6581381117156068,0,1.0000000000000009,,,,,,,,,,,,,,,
IE00BKM4GZ66,ISHARES CORE MSCI EM IMI,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL,0.042139099991776834,0.023640207730227857,0.014764104454671974,0.02932046784689661,0.008394716646086254,0.19204507162379023,0.04553556291665736,0.6441607687898924,0,0.9999999999999994,,,,,,,,,,,,,,,
US2332034212,DFA Emerging Markets Core Equity,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.08955501752018333,0.021683459804559584,0.01580633669945146,0.036685730794291695,0.003800415614058252,0.20991314537172118,0.05112055420911117,0.5714353399866197,0,0.9999999999999962,,,,,,,,,,,,,,,
LU0319685342,AMUNDI EQUITY EMERGING FOCUS,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.0763632336254603,0.024771536321104258,0.03366110634349446,0.004972764990875405,0,0.22166292632426332,0.052550496461136395,0.5860179457542904,0,1.0000000098206245,,,,,,,,,,,,,,,
LU0886779783,ABERDEEN GL-EMMKT EQTY,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.03627851237174769,0.022722778531270946,0.027743270819745983,0.017819757781171425,0,0.22321305804830946,0.027599289273002765,0.6446233331747515,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0821169231,ROBECO EM CONSERVATIVE,FM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.100622416061237,0.05565416991700602,0.04592290885323045,0.028166903374661753,0.015977187333103385,0.10238237388581868,0.059841049868337846,0.5914329907066049,0,1,,,,,,,,,,,,,,,
LU0300738944,FRANKLIN TEMPLETON EMERGING MARKETS SMALLER COMPAN,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.0898902026093357,0.029988537237720554,0.0356687326505303,0.00990870762971519,0.026286699123223692,0.33168234741912905,0.033369207630694356,0.4432055656996507,0,0.9999999999999996,,,,,,,,,,,,,,,
LU0248044025,JP MORGAN EMERGING MARKETS EQUITY EI A JPEMIUS,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL/MXN,0.2909197379059295,0.04388579441088334,0,0.0065747924154684325,0,0.15207766802625158,0.05488097614545705,0.4516610310960103,0,1.0000000000000002,,,,,,,,,,,,,,,
US2332037850,DFA EMERGING MARKETS PORTFOLIO,ETF EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL/MXN,0.06324748376802716,0.02251346342066231,0.01773871367441794,0.03413412854319438,0.006642912524284098,0.20938530745661338,0.0480278295527503,0.5983101610600483,0,0.9999999999999979,,,,,,,,,,,,,,,
