isin,nemo,frecuencia,moneda
COL40CB0AMM5,BPEISSA4,PV,COP
COL40CB0CXT3,BPEISSA3,PV,COP
COL17CB1BQ78,BPEMINHTA3,PV,COP
COL40CB0BY55,BPEISSA3,PV,COP
COL40CB0CDQ1,BPEISSA3,PV,COP
COL17CB1B5F0,BPEMINHTA4,PV,COP
COL40CB0BN58,BPEISSA4,PV,COP
COL40CB0CGO9,BPEISSA3,PV,COP
COL40CB0CQJ8,BPEISSA4,PV,COP
COL40CB0BVF8,BPEISSA4,PV,COP
COL40CB0CRJ6,BPEISSA4,PV,COP
COL40CB0CUE1,BPEISSA4,PV,COP
COL40CB0DDV9,BPEISSA3,PV,COP
COL40CB0CAY1,BPEISSA4,PV,COP
COL40CB0BTS5,BPEISSA4,PV,COP
COL40CB05S50,BPEISSA4,PV,COP
COL40CB0CLY8,BPEISSA4,PV,COP
COL40CB0BPD5,BPEISSA4,PV,COP
COL40CB0BUV7,BPEISSA4,PV,COP
COL40CB04K18,BPEMINHTA4,PV,COP
COL17CB0JGM7,BPEMINHTA4,PV,COP
COL17CB0IO66,BPEMINHTA4,PV,COP
COL17CB0JVS3,BPEMINHTA4,PV,COP
COL17CB0WYE0,BPEMINHTA3,PV,COP
COL17CB0V4E3,BPEMINHTA4,PV,COP
COL40CB02J88,BPEMINHTA4,PV,COP
COL40CB02JH9,BPEMINHTA4,PV,COP
COL17CB0V4W5,BPEMINHTA4,PV,COP
COL40CB92774,BPEMINHTA4,PV,COP
COL17CB0WZL2,BPEMINHTA4,PV,COP
COL40CB04IG9,BPEMINHTA4,PV,COP
COL17CB0IM84,BPEMINHTA4,PV,COP
COL17CB0YFS5,BPEMINHTA4,PV,COP
COL40CB01TX7,BPEMINHTA3,PV,COP
COL17CB0U2R0,BPEMINHTA4,PV,COP
COL40CB02JE6,BPEMINHTA3,PV,COP
COL17CB0V4Q7,BPEMINHTA3,PV,COP
COL40CB86636,BPEMINHTA3,PV,COP
COC06CB01379,BPEMINHTA3,PV,COP
COL17CB0UK49,BPEMINHTA3,PV,COP
COL40CB026X4,BPEMINHTA3,PV,COP
COL40CB04Y79,BPEMINHTA4,PV,COP
COL40CB88475,BPEMINHTA3,PV,COP
COL17CB0VMQ1,BPEMINHTA4,PV,COP
COL40CB039D9,BPEMINHTA4,PV,COP
COL17CB0BEW8,BPEMINHTA4,PV,COP
COL17CB0VNH8,BPEMINHTA4,PV,COP
COL17CB0WYO9,BPEMINHTA4,PV,COP
COL17CB0XSU6,BPEMINHTA4,PV,COP
COL40CB87139,BPEMINHTA3,PV,COP
COL17CB0XSC4,BPEMINHTA3,PV,COP
COL17CB0YOT5,BPEMINHTA4,PV,COP
COL16CB00207,BPEMINHTA4,PV,COP
